path,type,lines,sha256_prefix,validation,review_depth,signals_to_check
src/Contracts/Common.Contracts/Common.Contracts.csproj,csproj,11,202c4bc4e7f94337,xml parsed,automated inspection,
src/Contracts/Common.Contracts/Events/AuditEvent.cs,cs,28,6693fc5ecb24a539,C# included in project-tree scan,automated inspection,manual_time
src/Contracts/Common.Contracts/Events/IVersionedEvent.cs,cs,6,e970d9afd055d364,C# included in project-tree scan,automated inspection,
src/Gateway/Gateway.Api/Constants/GatewayConstants.cs,cs,12,f09553d1b945b0bf,C# included in project-tree scan,automated inspection,
src/Gateway/Gateway.Api/Dockerfile,Dockerfile,51,d6a097663e67bed4,Dockerfile FROM present,automated inspection,
src/Gateway/Gateway.Api/Extensions/AuthenticationExtensions.cs,cs,103,8bca94af6d7dba9d,C# included in project-tree scan,automated inspection,
src/Gateway/Gateway.Api/Extensions/MiddlewareExtensions.cs,cs,105,ae05c50d397a260c,C# included in project-tree scan,automated inspection,broad_exception_catch
src/Gateway/Gateway.Api/Extensions/RateLimiterExtensions.cs,cs,141,b1b426a0d4c423f6,C# included in project-tree scan,focused manual inspection,cancellation_token
src/Gateway/Gateway.Api/Gateway.Api.csproj,csproj,18,5cf1e8acfca528d0,xml parsed,automated inspection,
src/Gateway/Gateway.Api/Program.cs,cs,97,1fcc64a8aa7da39a,C# included in project-tree scan,automated inspection,authorization
src/Gateway/Gateway.Api/Properties/launchSettings.json,json,13,f7aefe5a2da4d970,json parsed,automated inspection,
src/Gateway/Gateway.Api/Resources/GatewayResources.cs,cs,3,43dac03600ea109c,C# included in project-tree scan,automated inspection,
src/Gateway/Gateway.Api/Resources/GatewayResources.ja-JP.resx,resx,38,655d29eca042de80,xml parsed,automated inspection,
src/Gateway/Gateway.Api/Resources/GatewayResources.resx,resx,38,7f41e21915a1cff5,xml parsed,automated inspection,
src/Gateway/Gateway.Api/appsettings.Production.json,json,13,63c197b7ce104a0d,json parsed,automated inspection,
src/Gateway/Gateway.Api/appsettings.json,json,578,882a55d9b8d59ed8,json parsed,automated inspection,
src/Orchestration/Orchestration.Contracts/Events/AuctionCompletionNotificationsFailed.cs,cs,12,1cedd87cde93db39,C# included in project-tree scan,automated inspection,manual_time
